id,code,name,amount,State
,236220,Commercial and Institutional Building Construction,155085107.92,AK
,324110,Petroleum Refineries,141712984.22,AK
,561210,Facilities Support Services,138468457.66,AK
,562910,Remediation Services,124780328.68,AK
,221112,Fossil Fuel Electric Power Generation,106504679.18,AK
,541330,Engineering Services,98776167.54,AK
,488190,Other Support Activities for Air Transportation,55540275.6,AK
,517910,Other Telecommunications,52651545.41,AK
,237990,Other Heavy and Civil Engineering Construction,48192579.18,AK
,561612,Security Guards and Patrol Services,45311923.33,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,40097880.7,AK
,423520,Coal and Other Mineral and Ore Merchant Wholesalers,35556780.11,AK
,237310,"Highway, Street, and Bridge Construction",34429393.6,AK
,541512,Computer Systems Design Services,31516445.3,AK
,237110,Water and Sewer Line and Related Structures Construction,25802140.64,AK
,541513,Computer Facilities Management Services,21422707.61,AK
,541990,"All Other Professional, Scientific, and Technical Services",19467765.81,AK
,236210,Industrial Building Construction,19049335.16,AK
,541519,Other Computer Related Services,18102142.49,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,16583621.11,AK
,541611,Administrative Management and General Management Consulting Services,16325568.04,AK
,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",16162778.67,AK
,311710,Seafood Product Preparation and Packaging,15201886.6,AK
,561320,Temporary Help Services,14925055.91,AK
,541620,Environmental Consulting Services,14328453.8,AK
,221210,Natural Gas Distribution,13451551.3,AK
,561720,Janitorial Services,13442444.21,AK
,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",12453695.63,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",11962578.02,AK
,238990,All Other Specialty Trade Contractors,11942345.07,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",10226195.84,AK
,722310,Food Service Contractors,9982687.62,AK
,238910,Site Preparation Contractors,9852492.86,AK
,517110,Wired Telecommunications Carriers,8656552.49,AK
,622110,General Medical and Surgical Hospitals,8590236.83,AK
,334516,Analytical Laboratory Instrument Manufacturing,8409969.39,AK
,561730,Landscaping Services,8175615.78,AK
,811219,Other Electronic and Precision Equipment Repair and Maintenance,7867964.4,AK
,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,7633424.55,AK
,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",7477549.07,AK
,541511,Custom Computer Programming Services,6749583.18,AK
,481212,Nonscheduled Chartered Freight Air Transportation,6673140.48,AK
,541370,Surveying and Mapping (except Geophysical) Services,6083374.07,AK
,336611,Ship Building and Repairing,6048755.6,AK
,493190,Other Warehousing and Storage,5699503.08,AK
,237130,Power and Communication Line and Related Structures Construction,5676836.36,AK
,483111,Deep Sea Freight Transportation,5288276.6,AK
,337214,Office Furniture (except Wood) Manufacturing,4932221.32,AK
,315990,Apparel Accessories and Other Apparel Manufacturing,4591104.24,AK
,221119,Other Electric Power Generation,4292525.58,AK
,334112,Computer Storage Device Manufacturing,3986482.75,AK
,541690,Other Scientific and Technical Consulting Services,3781447.4,AK
,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,3724175.76,AK
,238210,Electrical Contractors and Other Wiring Installation Contractors,3565449.08,AK
,561990,All Other Support Services,3116905.11,AK
,488119,Other Airport Operations,2788634.55,AK
,562111,Solid Waste Collection,2730430.43,AK
,541310,Architectural Services,2692074.95,AK
,115310,Support Activities for Forestry,2673085.13,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,2669722.57,AK
,562211,Hazardous Waste Treatment and Disposal,2667085.0,AK
,488310,Port and Harbor Operations,2531532.61,AK
,334290,Other Communications Equipment Manufacturing,2478163.71,AK
,611430,Professional and Management Development Training,2390163.3,AK
,221320,Sewage Treatment Facilities,2285620.89,AK
,483114,Coastal and Great Lakes Passenger Transportation,2103601.79,AK
,238160,Roofing Contractors,2015240.08,AK
,541614,"Process, Physical Distribution, and Logistics Consulting Services",2013997.44,AK
,561621,Security Systems Services (except Locksmiths),1985042.59,AK
,541930,Translation and Interpretation Services,1979607.61,AK
,485410,School and Employee Bus Transportation,1869520.88,AK
,334111,Electronic Computer Manufacturing,1854004.49,AK
,517919,All Other Telecommunications,1826058.05,AK
,561790,Other Services to Buildings and Dwellings,1729955.37,AK
,334210,Telephone Apparatus Manufacturing,1635618.57,AK
,339113,Surgical Appliance and Supplies Manufacturing,1587849.19,AK
,561110,Office Administrative Services,1551273.49,AK
,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",1545874.56,AK
