State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Hawaii,16827834,1300043,4305279,3446162,3446162,1223693,0.45854188349132835,0.5592950867564686,7.725551606938836,0.4402816856054403,25.584273056175853,0.3357096442059751,20.47893983266058,0.3357096442059751,20.47893983266058,0.5673530247980358,7.27183902574746
Iowa,35062829,1292440,10024918,11048544,11048544,2900114,0.9554275167079952,0.5560241791444822,3.68606879952556,1.0252036616201459,28.591298209280257,1.0762995979974421,31.510703257857486,1.0762995979974421,31.510703257857486,1.3446088603588735,8.271192264605915
Idaho,13222087,263931,3542260,3633229,3633229,952315,0.3602888331716493,0.11354648387993435,1.9961372209999828,0.36225113486320565,26.790475663940192,0.35393287225290937,27.47848354045772,0.35393287225290937,27.47848354045772,0.4415313283728366,7.202456011671984
Illinois,146692338,8575489,28037486,38623156,38623156,10767735,3.997221565191727,3.6892847884524906,5.845901099483465,2.8672686709081887,19.11312232272145,3.7624946125202103,26.329361523980893,3.7624946125202103,26.329361523980893,4.992352675445295,7.340352704719997
Indiana,59295114,2493493,20033200,18384687,18384687,2821936,1.6157333888243153,1.0727325048184153,4.205225071327125,2.0487060337020915,33.785583075192335,1.7909537426296898,31.00539953426854,1.7909537426296898,31.00539953426854,1.3083624122933366,4.759137489810712
Kansas,30777581,1600409,8647258,9954282,9954282,2034430,0.8386587341571661,0.6885163725360107,5.199918083230778,0.8843165165614422,28.095963747118397,0.9697015022932591,32.3426392736973,0.9697015022932591,32.3426392736973,0.9432431289873098,6.610103633550668
Kentucky,45409311,2050087,14926620,13054289,13054289,2525947,1.2373589491067891,0.8819735858916269,4.514684224123109,1.5264788679181716,32.87127611339445,1.2716902790849574,28.748044646614435,1.2716902790849574,28.748044646614435,1.1711300717823214,5.562619084883274
Louisiana,49335719,1359685,15071684,12542133,12542133,2960747,1.3443496954901573,0.584953836170395,2.755984969024167,1.5413139163414369,30.549233507674227,1.2217983388517486,25.42201320710457,1.2217983388517486,25.42201320710457,1.3727207445917484,6.001223981351118
Massachusetts,92902911,6239870,25808008,23495150,23495150,4557684,2.5315127182599526,2.6844716928586863,6.716549495418933,2.639269897342005,27.77954718770868,2.288792124997611,25.290004099010417,2.288792124997611,25.290004099010417,2.1131246182446177,4.905857040367659
Maryland,69963586,3537660,15657888,21011189,21011189,3971442,1.906438731226344,1.5219464714743192,5.056430355070708,1.6012623854716956,22.38005353241899,2.0468157862382843,30.031606727533948,2.0468157862382843,30.031606727533948,1.8413193762732656,5.676441456274126
Maine,12971286,177776,3735313,3591829,3591829,1050167,0.35345475322282705,0.07648150356812655,1.3705348875971126,0.3819938043281084,28.79678236992076,0.3498998699535029,27.69061602681492,0.3498998699535029,27.69061602681492,0.4868994298349986,8.096090086981352
Michigan,99635622,3855897,26761342,31137214,31137214,4905258,2.714972454251096,1.65885608948243,3.8699984228532243,2.7367631144981934,26.859211056061856,3.03324772123461,31.251086082445497,3.03324772123461,31.251086082445497,2.2742738282516646,4.923197046935683
Minnesota,68286825,3303911,18683714,19990927,19990927,5427626,1.8607486473388513,1.4213846691075993,4.8382846910806,1.910700117992345,27.36064240796083,1.9474264386055045,29.274939931677892,1.9474264386055045,29.274939931677892,2.5164645287441085,7.94827699193805
Missouri,55398827,2768407,16057741,15562933,15562933,2725167,1.509563409990273,1.191004015438116,4.997230356520004,1.642153568792078,28.985705780376904,1.5160711249881547,28.092531634288935,1.5160711249881547,28.092531634288935,1.2634964329531908,4.919178162382392
Mississippi,30203067,857920,10817251,8313780,8313780,1866632,0.8230037941540655,0.3690881308003731,2.840506230708292,1.1062320244279489,35.81507467436999,0.8098911559603847,27.52627738103551,0.8098911559603847,27.52627738103551,0.8654452639549358,6.180273016644303
Montana,10996193,327075,2867018,2975621,2975621,924313,0.29963541650423703,0.14071183837832435,2.9744385170394883,0.2931971465034295,26.072823567210946,0.2898716506077857,27.06046538106416,0.2898716506077857,27.06046538106416,0.4285484810407078,8.405754609799954
North Carolina,92320411,4882406,29318397,27447266,27447266,5479048,2.5156401676314104,2.1004733592275815,5.288544480158348,2.9982617271515934,31.757221054832605,2.6737895384159995,29.73044173297712,2.6737895384159995,29.73044173297712,2.540305824919836,5.934817599544698
North Dakota,11084583,453841,1827031,2997010,2997010,1857540,0.3020439568476822,0.19524818907424019,4.094344370013739,0.18684231343273996,16.482631777848567,0.29195527104696456,27.037643184231648,0.29195527104696456,27.037643184231648,0.8612298490580101,16.757869917163326
Nebraska,23354541,4371090,4252357,7391883,7391883,1660577,0.6363882136117727,1.8804986917896807,18.7162316741742,0.43486958865060626,18.20783803886362,0.7200840854092745,31.65073122182106,0.7200840854092745,31.65073122182106,0.7699099233713423,7.1102960233729275
New Hampshire,12638642,161725,2646056,4216473,4216473,810017,0.3443905322249203,0.06957615856220899,1.279607413518003,0.270600348057905,20.93623666213506,0.41074988657936,33.361756745701,0.41074988657936,33.361756745701,0.37555628338793356,6.409050909108747
New Jersey,109631056,3955743,23361356,36996767,36996767,4279502,2.987338174799163,1.701811112687267,3.6082321418120795,2.3890617071991773,21.309067751750927,3.6040590913431703,33.746611908946676,3.6040590913431703,33.746611908946676,1.9841483152467525,3.903549008959651
New Mexico,24719907,856682,7919279,6920147,6920147,1009895,0.6735930907988795,0.3685555274038666,3.465555109086778,0.8098693503718959,32.036038808722054,0.6741296802712833,27.994227486373635,0.6741296802712833,27.994227486373635,0.46822771968002797,4.0853511301640415
Nevada,26135983,1520099,5533114,6783019,6783019,2362971,0.712179765483623,0.6539659858046396,5.816115659395708,0.5658468960007146,21.170483620225802,0.6607712856018867,25.952798484755675,0.6607712856018867,25.952798484755675,1.095567878838924,9.041064191080931
New York,348447200,30763549,94792416,86292941,86292941,15000389,9.494842615233761,13.234871313404147,8.828754830000069,9.693997694247484,27.20424098686975,8.4062712433708,24.764997681140787,8.4062712433708,24.764997681140787,6.9547803838848345,4.304924533760065
Ohio,129864027,3896263,37527490,36303324,36303324,6543450,3.5386666839207424,1.6762220577404119,3.000263498682356,3.8377690629901817,28.897525255396555,3.536506984736712,27.954873138193996,3.536506984736712,27.954873138193996,3.0338051701813344,5.0386932787784255
Oklahoma,34889473,2512555,9308804,10574731,10574731,2766119,0.9507037366448854,1.0809332204437843,7.201470197041957,0.9519698760732267,26.680838658697997,1.0301428608358794,30.309231096726513,1.0301428608358794,30.309231096726513,1.2824834183094274,7.9282338257158536
Oregon,52986723,2492292,15034111,13879455,13879455,2644454,1.4438359544343786,1.0722158192940174,4.70361603603982,1.537471493173681,28.373354962902685,1.3520742495050557,26.19421284082807,1.3520742495050557,26.19421284082807,1.226074657482935,4.9907860880545485
Pennsylvania,151316335,4912192,44411576,43495048,43495048,10694632,4.123220923970655,2.113287676487955,3.2463064876637406,4.541773841294402,29.35015310805671,4.237092478183501,28.74444983087913,4.237092478183501,28.74444983087913,4.958459200389206,7.067731319292131
Rhode Island,12869280,359408,3468515,3494906,3494906,554971,0.35067519030537636,0.15462190753764976,2.7927591908793654,0.35470956255047675,26.95189629878284,0.34045806604371115,27.15696604627454,0.34045806604371115,27.15696604627454,0.2573067554731381,4.312370233610583
South Carolina,50089068,3505000,15865019,15227430,15227430,2883529,1.364877712903825,1.5078957227425724,6.997534871281694,1.622444749221209,31.673615887602462,1.483387927634102,30.400705399429672,1.483387927634102,30.400705399429672,1.3369193909279988,5.756803061298725
South Dakota,8021923,343286,1532536,2455176,2455176,1036483,0.2185894917695532,0.14768601742579365,4.279347981774445,0.15672562296915463,19.104346925294596,0.23917223317506522,30.60582855258022,0.23917223317506522,30.60582855258022,0.4805549800495244,12.920630128212398
Tennessee,62123572,9222623,16580994,14671839,14671839,2730603,1.6928060803362541,3.967690092487096,14.845609650391642,1.6956643198579449,26.69034227458782,1.429264744529523,23.617185116142387,1.429264744529523,23.617185116142387,1.2660167800033106,4.395437854088622
Texas,263184510,17231999,63687173,90097215,90097215,17877458,7.171518385618871,7.413425844908499,6.5474974192060165,6.513003194423704,24.198678334070646,8.77686655229767,34.23347939436101,8.77686655229767,34.23347939436101,8.288704660400807,6.792747035150359
Utah,30149141,2171444,6921067,10044978,10044978,2264273,0.8215343638275509,0.9341829157703344,7.202341187763857,0.7077866602717706,22.956100142289294,0.9785366997943937,33.317625865360476,0.9785366997943937,33.317625865360476,1.0498075379351872,7.510240507349779
Virginia,83592064,3392183,19791307,27205343,27205343,6286222,2.2778013184280086,1.4593604098316884,4.058020388155508,2.023968715220257,23.676059727392303,2.650222484906837,32.5453657897477,2.650222484906837,32.5453657897477,2.914543979782477,7.520118177725579
Vermont,7959781,287845,2231003,2781405,2781405,661257,0.21689618354438778,0.1238345918153597,3.616242708185062,0.22815472851603677,28.028447013806034,0.27095199904784517,34.9432352473014,0.27095199904784517,34.9432352473014,0.3065851967110009,8.307477303709737
Washington,91784590,9723967,23362995,25048823,25048823,5575033,2.5010395737252544,4.183374678285285,10.59433506212753,2.3892293204206916,25.454158481287546,2.4401439796238384,27.290880745885556,2.4401439796238384,27.290880745885556,2.584808310498522,6.0740403154821525
Wisconsin,62502369,2365045,16838110,18801569,18801569,5999700,1.7031279250752065,1.0174725362606867,3.7839285739713318,1.7219584266687065,26.939954867950682,1.8315645171364816,30.0813701957441,1.8315645171364816,30.0813701957441,2.7817009191690856,9.599156153585154
West Virginia,18160280,394838,5397494,5445144,5445144,1280252,0.4948497231390505,0.16986434561376088,2.174184539004905,0.5519776433455882,29.721425000055063,0.5304415041690728,29.983810822300093,0.5304415041690728,29.983810822300093,0.5935760396633265,7.0497371185906825
Wyoming,10362191,328128,2709220,3096496,3096496,766367,0.2823594871590064,0.1411648524142867,3.1665889964776754,0.27705984868250605,26.145242835226647,0.3016467509203645,29.8826377548918,0.3016467509203645,29.8826377548918,0.35531839730667447,7.39580075294887
United States,3669857565,232443129,977846488,1026530533,1026530533,215684582,100.0,100.0,6.33384606576686,100.0,26.645352596947454,100.0,27.971944818517773,100.0,27.971944818517773,100.0,5.877192184705403
