State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Alaska,14939769,799060,3298694,3316918,3316918,1950228,0.40709397395917735,0.34376580776453064,5.348543207060297,0.33734272613146615,22.079953177321553,0.3231192734527264,22.201936321773115,0.3231192734527264,22.201936321773115,0.9042037135505587,13.053936777737327
Alabama,46961537,3174122,14205075,14102709,14102709,2689922,1.2796555770414486,1.3655477852391154,6.758982356135405,1.452689678218694,30.248317894706044,1.3738226527744206,30.030339509543737,1.3738226527744206,30.030339509543737,1.2471554410875785,5.727925812990319
Arkansas,27688857,987682,9077837,8413108,8413108,2151829,0.754494050779325,0.42491339892434504,3.5670739315819358,0.9283499108911255,32.785163360119924,0.8195672441824972,30.384453933941728,0.8195672441824972,30.384453933941728,0.9976740015658606,7.7714620000384995
Arizona,60084606,5481940,16158938,16789089,16789089,3099014,1.6372462673493433,2.358400535900547,9.1237013354136,1.6525025347332432,26.893640610708175,1.6355177425589542,27.942413402860627,1.6355177425589542,27.942413402860627,1.4368268567291473,5.157750389509086
California,569430129,43593282,165956421,135421829,135421829,23091879,15.516409531278361,18.75438615352661,7.655598076019612,16.971623157274152,29.144299282414682,13.192187143643395,23.78199222401876,13.192187143643395,23.78199222401876,10.706318822548011,4.055261185521148
Colorado,60919223,4513782,12181924,17726200,17726200,4139615,1.6599887576290717,1.9418866108965518,7.409454319533918,1.24579104690715,19.996847300563896,1.7268068927473395,29.0978760513738,1.7268068927473395,29.0978760513738,1.9192911063063378,6.795252460787295
Connecticut,41048798,1423979,6380256,13647313,13647313,2317356,1.1185392695206688,0.6126139353424381,3.468990736342633,0.6524803308390059,15.54310067739377,1.3294600171430069,33.2465593755023,1.3294600171430069,33.2465593755023,1.074418940154007,5.645368714572348
Delaware,12100844,540908,3124465,4075944,4075944,915689,0.3297360670181759,0.2327055234228928,4.470002257693761,0.31952510320822464,25.820223779432244,0.3970601817452224,33.68313813482762,0.3970601817452224,33.68313813482762,0.4245500496646534,7.567149861612958
Florida,177089394,10988094,43797757,43350737,43350737,14737625,4.825511368313827,4.727218243564429,6.20482895774097,4.479001309252542,24.732004560363453,4.2230343478736065,24.479578376105344,4.2230343478736065,24.479578376105344,6.832952482435671,8.322138704704134
Georgia,85621908,6129525,19646582,28253276,28253276,5466307,2.3331125659096252,2.6369998658897766,7.158827855132591,2.0091683348153517,22.94574187718405,2.7523074172407496,32.997718294247775,2.7523074172407496,32.997718294247775,2.5343985876561175,6.384238716100557
